S/T code,S/T name,GCCSA code,GCCSA name,SA4 code,SA4 name,2015,2016,2017,2018,2019,2020,2021
1,New South Wales,1RNSW,Rest of NSW,103,Central West,3676.0,3665.0,3654.0,3637.0,3614.0,3596.0,3575.0
1,New South Wales,1RNSW,Rest of NSW,103,Central West,11264.0,11251.0,11222.0,11181.0,11152.0,11081.0,10985.0
1,New South Wales,1RNSW,Rest of NSW,103,Central West,3434.0,3420.0,3423.0,3414.0,3388.0,3344.0,3283.0
1,New South Wales,1RNSW,Rest of NSW,103,Central West,5999.0,5997.0,5907.0,5816.0,5721.0,5612.0,5515.0
1,New South Wales,1RNSW,Rest of NSW,103,Central West,13032.0,13040.0,12955.0,12843.0,12721.0,12581.0,12411.0
1,New South Wales,1RNSW,Rest of NSW,103,Central West,8359.0,8435.0,8446.0,8472.0,8460.0,8438.0,8435.0
1,New South Wales,1RNSW,Rest of NSW,103,Central West,11880.0,12019.0,12205.0,12378.0,12485.0,12593.0,12577.0
1,New South Wales,1RNSW,Rest of NSW,103,Central West,3503.0,3497.0,3481.0,3468.0,3442.0,3417.0,3393.0
1,New South Wales,1RNSW,Rest of NSW,103,Central West,10478.0,10514.0,10626.0,10734.0,10838.0,10926.0,11064.0
1,New South Wales,1RNSW,Rest of NSW,103,Central West,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,New South Wales,1RNSW,Rest of NSW,103,Central West,7334.0,7355.0,7391.0,7419.0,7459.0,7489.0,7528.0
1,New South Wales,1RNSW,Rest of NSW,103,Central West,19565.0,19390.0,19275.0,19212.0,19183.0,19090.0,19104.0
1,New South Wales,1RNSW,Rest of NSW,103,Central West,19657.0,20196.0,20921.0,21690.0,22280.0,22639.0,23047.0
1,New South Wales,1RNSW,Rest of NSW,103,Central West,11644.0,11762.0,11784.0,11801.0,11806.0,11808.0,11807.0
1,New South Wales,1RNSW,Rest of NSW,104,Coffs Harbour - Grafton,19037.0,19037.0,19143.0,19234.0,19295.0,19324.0,19331.0
1,New South Wales,1RNSW,Rest of NSW,104,Coffs Harbour - Grafton,15577.0,15611.0,15635.0,15682.0,15715.0,15719.0,16916.0
1,New South Wales,1RNSW,Rest of NSW,104,Coffs Harbour - Grafton,16521.0,16567.0,16725.0,16899.0,17075.0,17293.0,17481.0
1,New South Wales,1RNSW,Rest of NSW,104,Coffs Harbour - Grafton,5981.0,6007.0,6003.0,6007.0,6037.0,6097.0,6147.0
1,New South Wales,1RNSW,Rest of NSW,104,Coffs Harbour - Grafton,17634.0,17845.0,17968.0,18095.0,18139.0,18268.0,18132.0
1,New South Wales,1RNSW,Rest of NSW,104,Coffs Harbour - Grafton,10442.0,10531.0,10823.0,11091.0,11295.0,11374.0,11283.0
1,New South Wales,1RNSW,Rest of NSW,104,Coffs Harbour - Grafton,3868.0,3917.0,3933.0,3975.0,3978.0,3929.0,3948.0
1,New South Wales,1RNSW,Rest of NSW,104,Coffs Harbour - Grafton,3275.0,3262.0,3278.0,3283.0,3273.0,3255.0,3232.0
1,New South Wales,1RNSW,Rest of NSW,104,Coffs Harbour - Grafton,8720.0,9011.0,9285.0,9577.0,9880.0,10073.0,10212.0
1,New South Wales,1RNSW,Rest of NSW,104,Coffs Harbour - Grafton,19842.0,19889.0,19950.0,20009.0,20053.0,20081.0,20111.0
1,New South Wales,1RNSW,Rest of NSW,104,Coffs Harbour - Grafton,4727.0,4739.0,4758.0,4782.0,4804.0,4837.0,4883.0
1,New South Wales,1RNSW,Rest of NSW,104,Coffs Harbour - Grafton,12601.0,12830.0,13098.0,13394.0,13683.0,13899.0,14439.0
1,New South Wales,1RNSW,Rest of NSW,105,Far West and Orana,4261.0,4185.0,4072.0,3932.0,3824.0,3714.0,3618.0
1,New South Wales,1RNSW,Rest of NSW,105,Far West and Orana,4802.0,4783.0,4698.0,4615.0,4479.0,4283.0,4169.0
1,New South Wales,1RNSW,Rest of NSW,105,Far West and Orana,4297.0,4245.0,4221.0,4172.0,4121.0,4068.0,4039.0
1,New South Wales,1RNSW,Rest of NSW,105,Far West and Orana,5164.0,5096.0,5012.0,4924.0,4826.0,4710.0,4635.0
1,New South Wales,1RNSW,Rest of NSW,105,Far West and Orana,6747.0,6629.0,6476.0,6310.0,6169.0,5994.0,5889.0
1,New South Wales,1RNSW,Rest of NSW,105,Far West and Orana,18360.0,18114.0,17985.0,17897.0,17778.0,17688.0,17661.0
1,New South Wales,1RNSW,Rest of NSW,105,Far West and Orana,2618.0,2579.0,2532.0,2495.0,2450.0,2386.0,2332.0
1,New South Wales,1RNSW,Rest of NSW,105,Far West and Orana,8157.0,8100.0,8069.0,8037.0,8000.0,7965.0,7946.0
1,New South Wales,1RNSW,Rest of NSW,105,Far West and Orana,10788.0,10690.0,10690.0,10704.0,10710.0,10733.0,10737.0
1,New South Wales,1RNSW,Rest of NSW,105,Far West and Orana,17122.0,17389.0,18039.0,18664.0,19128.0,19504.0,19823.0
1,New South Wales,1RNSW,Rest of NSW,105,Far West and Orana,8805.0,9039.0,9348.0,9695.0,9983.0,10184.0,10454.0
1,New South Wales,1RNSW,Rest of NSW,105,Far West and Orana,5561.0,5713.0,5779.0,5851.0,5896.0,5939.0,5974.0
1,New South Wales,1RNSW,Rest of NSW,105,Far West and Orana,4474.0,4441.0,4423.0,4413.0,4431.0,4430.0,4424.0
1,New South Wales,1RNSW,Rest of NSW,105,Far West and Orana,6761.0,6712.0,6692.0,6678.0,6657.0,6611.0,6550.0
1,New South Wales,1RNSW,Rest of NSW,105,Far West and Orana,9049.0,9060.0,9074.0,9063.0,9012.0,8970.0,8927.0
1,New South Wales,1RNSW,Rest of NSW,106,Hunter Valley exc Newcastle,10186.0,10365.0,10722.0,11295.0,11729.0,12209.0,12781.0
1,New South Wales,1RNSW,Rest of NSW,106,Hunter Valley exc Newcastle,22182.0,22493.0,22759.0,23236.0,23432.0,23580.0,23732.0
1,New South Wales,1RNSW,Rest of NSW,106,Hunter Valley exc Newcastle,7883.0,8073.0,8235.0,8437.0,8684.0,8899.0,9151.0
1,New South Wales,1RNSW,Rest of NSW,106,Hunter Valley exc Newcastle,9008.0,9101.0,9149.0,9247.0,9313.0,9428.0,9525.0
1,New South Wales,1RNSW,Rest of NSW,106,Hunter Valley exc Newcastle,17791.0,17967.0,18354.0,18848.0,19193.0,20001.0,20824.0
1,New South Wales,1RNSW,Rest of NSW,106,Hunter Valley exc Newcastle,16570.0,16517.0,16663.0,16771.0,16897.0,16942.0,17135.0
1,New South Wales,1RNSW,Rest of NSW,106,Hunter Valley exc Newcastle,5010.0,5030.0,5080.0,5142.0,5216.0,5291.0,5354.0
